1,9514358556070174007,2.4124016761779785
1,8499534789736846049,1.706129550933838
1,2574263135376359003,1.8955721855163574
1,14727306989239937032,1.5464587211608887
1,12196559301586373910,1.800849437713623
1,17355140115945612448,2.0162241458892822
1,2087498003029043731,1.7433421611785889
1,3291656067200801603,2.444188356399536
1,2810526226124276992,2.212756633758545
2,13366130253201852449,2.59725022315979
2,2585877643352420109,2.360861301422119
2,2817802723851389944,2.0889852046966553
2,2574263135376359003,2.473487377166748
2,12196559301586373910,3.0951087474823
2,10395503961203721944,2.3581597805023193
2,17355140115945612448,4.285179615020752
2,16810234070096369394,2.530998945236206
2,9514358556070174007,2.3292195796966553
2,5475171297966554280,2.164315938949585
2,16854256963213187563,2.719998359680176
2,14727946279258206316,1.6546213626861572
2,17123025827533638310,3.869141101837158
2,8499534789736846049,2.9609525203704834
2,14727306989239937032,2.3216922283172607
2,3291656067200801603,1.7754597663879395
3,2574263135376359003,1.9549729824066162,1
3,17146168950227127544,3.199045419692993,1
3,12196559301586373910,3.165578842163086,1
3,2817802723851389944,1.8272895812988281,1
3,14727946279258206316,1.798185110092163,1
3,3291656067200801603,1.997387170791626,1
3,17355140115945612448,3.0208656787872314,1
3,10395503961203721944,2.353424549102783,1
3,9514358556070174007,2.181481122970581,1
3,13366130253201852449,3.194169282913208,1
3,1443294473442078479,2.7941854000091553,1
3,14727306989239937032,2.3159186840057373,1
3,5475171297966554280,2.6591436862945557,1
3,16854256963213187563,2.9835145473480225,1
3,8499534789736846049,2.427713632583618,1
3,17123025827533638310,3.0658748149871826,1
4,16810234070096369394,2.5001015663146973,1
4,10395503961203721944,2.713008403778076,1
4,2817802723851389944,3.097282648086548,1
4,12196559301586373910,3.9048283100128174,1
4,8499534789736846049,3.5259196758270264,1
4,16854256963213187563,3.2600114345550537,1
4,2585877643352420109,2.336944103240967,1
4,2574263135376359003,4.033412218093872,1
